lakeid,Depth,Replicate,sample_date,DIC,DOC,DRSI,TIC,TOC
SSB,0,1,2019-01-08,-99,-99,3827,-99,-99
SSB,3,1,2019-01-08,5.01,19.74,1094,-99,-99
SSB,7,1,2019-01-08,6.1,20.33,1206,2.23,21.66
SSB,0,1,2019-02-16,4.53,-99,1336,5.4,-99
SSB,3,1,2019-02-16,6.02,19.51,1140,5.09,19.06
SSB,7,1,2019-02-16,8.58,21.73,1431,8.47,21.62
SSB,0,1,2019-03-09,5.87,19.33,1047,4.94,20.81
SSB,3,1,2019-03-09,6.18,19.4,1163,5.99,19.42
SSB,7,1,2019-03-09,8,21.09,1486,8.46,21.77
SSB,0,1,2019-04-06,1.53,22.41,1086,0.86,24.92
SSB,3,1,2019-04-06,-99,-99,1309,2.23,20.87
SSB,7,1,2019-04-06,-99,-99,1808,-99,-99
SSB,0,1,2019-05-02,0.83,14.27,121,1.16,14.6
SSB,3,1,2019-05-02,6.35,20.13,1430,7.39,20.86
SSB,7,1,2019-05-02,9.87,22.76,1832,9.77,23.93
SSB,0,1,2020-01-07,5.27,19.9,-99,5.17,19.03
SSB,3,1,2020-01-07,6.54,18.01,-99,6.9,17.98
SSB,7,1,2020-01-07,22.35,27.26,-99,22.52,26.92
SSB,3,2,2020-01-07,6.78,18.1,-99,5.9,17.68
SSB,0,1,2020-01-31,5.78,21.39,1199,5.79,21.58
SSB,3,1,2020-01-31,5.92,18.36,1062,5.9,18.54
SSB,7,1,2020-01-31,11.37,22.8,2217,11.62,23.04
SSB,0,2,2020-01-31,10.03,22.02,1961,11.36,22.79
SSB,0,1,2020-02-14,5.3,19.82,1348,6.61,20.55
SSB,3,1,2020-02-14,4.04,16.8,1157,5.31,16.69
SSB,7,1,2020-02-14,15.02,21.11,3530,12.69,20.6
SSB,0,2,2020-02-14,4.73,20.27,1330,6.01,20.27
SSB,0,1,2020-03-06,4.93,19.58,1216,7.12,19.84
SSB,3,1,2020-03-06,6.46,17,1166,5.88,17.23
SSB,7,1,2020-03-06,11.62,19.07,2245,2.74,19.96
SSB,3,2,2020-03-06,6.54,16.99,1148,6.71,17.08
SSB,0,1,2020-05-04,1.52,12.75,300,1.49,13.04
SSB,3,1,2020-05-04,8.22,17.26,1147,8.36,17.11
SSB,7,1,2020-05-04,14.69,24.6,2943,15.72,27.13
SSB,0,2,2020-05-04,1.7,12.89,361,-99,-99
SSB,0,1,2020-10-06,3.43,15.73,665,3.74,16.39
SSB,3,1,2020-10-06,6.1,16.31,955,7.61,17.19
SSB,7,1,2020-10-06,15.97,21.37,1933,16.05,22.39
SSB,3,2,2020-10-06,8.59,17.02,984,10.65,18.19
SSB,0,1,2020-10-30,6.26,16.65,1173,6.54,17
SSB,3,1,2020-10-30,6.34,16.59,1178,6.62,17.04
SSB,7,1,2020-10-30,6.22,16.71,1187,6.6,17.03
SSB,7,2,2020-10-30,6.32,16.75,1131,6.52,17.01
SSB,0,1,2021-01-13,8.74,20.16,1387,10.77,20.45
SSB,3,1,2021-01-13,6.22,16.81,1201,6.35,17.86
SSB,7,1,2021-01-13,16.48,22.24,3007,16.97,24.12
SSB,3,2,2021-01-13,6.07,17.22,1312,6.71,17.19
SSB,0,1,2021-02-02,1.6,19.9,1372,3.14,22.33
SSB,3,1,2021-02-02,1.87,18.1,1205,1.82,18.27
SSB,7,1,2021-02-02,2.4,19.33,1818,3.79,19.67
SSB,0,2,2021-02-02,1.56,21.85,1341,2.82,22.16
SSB,0,1,2021-02-17,2.91,21.62,1450,5.08,22.91
SSB,3,1,2021-02-17,2.46,19.13,1286,2.97,18.89
SSB,7,1,2021-02-17,2.78,19.19,1500,2.99,19.2
SSB,7,2,2021-02-17,2.96,19.86,1732,3.24,19.43
SSB,0,1,2021-03-02,5.99,18.89,1396,6.67,19.35
SSB,3,1,2021-03-02,6.27,18.66,1340,6.94,19.19
SSB,7,1,2021-03-02,8.18,19.31,1766,8.98,21.03
SSB,3,2,2021-03-02,7.2,18.64,1321,6.59,18.89
SSB,0,1,2021-03-15,3.8,19.97,1226,4.37,20.66
SSB,3,1,2021-03-15,6.98,19.25,1312,7.08,20.26
SSB,7,1,2021-03-15,7.77,20.78,1568,7.79,21.54
SSB,0,2,2021-03-15,3.61,20.64,1235,3.82,21.22
SSB,0,1,2021-04-13,,12.92,588,,10.6
SSB,3,1,2021-04-13,,15.7,1217,,16.07
SSB,7,1,2021-04-13,,17.61,1685,,18.55
SSB,7,2,2021-04-13,,17.5,1927,,18.32
