DateTime_CST,floorhour,Time_sec,DateTime_UTC,Battery_V,Temp_degC,DO_mgL,DO_sat
2018-12-12T06:00:00Z,2018-12-12T06:00:00Z,1544594400,2018-12-12T12:00:00Z,3.37,3.937,0.225,0.017139455041514592
2018-12-12T07:00:00Z,2018-12-12T07:00:00Z,1544598000,2018-12-12T13:00:00Z,3.37,3.937,0.212,0.01614917541689374
2018-12-12T08:00:00Z,2018-12-12T08:00:00Z,1544601600,2018-12-12T14:00:00Z,3.37,3.937,0.19,0.01447331759061232
2018-12-12T09:00:00Z,2018-12-12T09:00:00Z,1544605200,2018-12-12T15:00:00Z,3.37,3.906,0.186,0.01415704618310332
2018-12-12T10:00:00Z,2018-12-12T10:00:00Z,1544608800,2018-12-12T16:00:00Z,3.37,3.958,0.193,0.01470997798793689
2018-12-12T11:00:00Z,2018-12-12T11:00:00Z,1544612400,2018-12-12T17:00:00Z,3.37,3.958,0.197,0.01501484799804957
2018-12-12T12:00:00Z,2018-12-12T12:00:00Z,1544616000,2018-12-12T18:00:00Z,3.37,3.937,0.188,0.01432096687913219
2018-12-12T13:00:00Z,2018-12-12T13:00:00Z,1544619600,2018-12-12T19:00:00Z,3.37,3.958,0.175,0.01333806294242982
2018-12-12T14:00:00Z,2018-12-12T14:00:00Z,1544623200,2018-12-12T20:00:00Z,3.37,3.948,0.166,0.01264877367527016
2018-12-12T15:00:00Z,2018-12-12T15:00:00Z,1544626800,2018-12-12T21:00:00Z,3.37,3.948,0.166,0.01264877367527016
2018-12-12T16:00:00Z,2018-12-12T16:00:00Z,1544630400,2018-12-12T22:00:00Z,3.37,3.927,0.173,0.01317486486519648
2018-12-12T17:00:00Z,2018-12-12T17:00:00Z,1544634000,2018-12-12T23:00:00Z,3.38,3.937,0.171,0.01302598583155109
2018-12-12T18:00:00Z,2018-12-12T18:00:00Z,1544637600,2018-12-13T00:00:00Z,3.38,3.969,0.168,0.01280824979908197
2018-12-12T19:00:00Z,2018-12-12T19:00:00Z,1544641200,2018-12-13T01:00:00Z,3.38,3.969,0.166,0.01265577063480718
2018-12-12T20:00:00Z,2018-12-12T20:00:00Z,1544644800,2018-12-13T02:00:00Z,3.38,3.969,0.162,0.01235081230625761
2018-12-12T21:00:00Z,2018-12-12T21:00:00Z,1544648400,2018-12-13T03:00:00Z,3.38,3.958,0.163,0.01242345291209178
2018-12-12T22:00:00Z,2018-12-12T22:00:00Z,1544652000,2018-12-13T04:00:00Z,3.38,3.937,0.164,0.01249275834137063
2018-12-12T23:00:00Z,2018-12-12T23:00:00Z,1544655600,2018-12-13T05:00:00Z,3.38,3.937,0.17,0.01294981047581102
2018-12-13T00:00:00Z,2018-12-13T00:00:00Z,1544659200,2018-12-13T06:00:00Z,3.38,3.927,0.167,0.0127179331357677
2018-12-13T01:00:00Z,2018-12-13T01:00:00Z,1544662800,2018-12-13T07:00:00Z,3.38,3.927,0.169,0.01287024371224396
2018-12-13T02:00:00Z,2018-12-13T02:00:00Z,1544666400,2018-12-13T08:00:00Z,3.38,3.917,0.162,0.01233390600996086
2018-12-13T03:00:00Z,2018-12-13T03:00:00Z,1544670000,2018-12-13T09:00:00Z,3.38,3.886,0.166,0.01262812259272625
2018-12-13T04:00:00Z,2018-12-13T04:00:00Z,1544673600,2018-12-13T10:00:00Z,3.38,3.886,0.166,0.01262812259272625
2018-12-13T05:00:00Z,2018-12-13T05:00:00Z,1544677200,2018-12-13T11:00:00Z,3.38,3.927,0.167,0.0127179331357677
2018-12-13T06:00:00Z,2018-12-13T06:00:00Z,1544680800,2018-12-13T12:00:00Z,3.38,3.896,0.166,0.0126314527440702
2018-12-13T07:00:00Z,2018-12-13T07:00:00Z,1544684400,2018-12-13T13:00:00Z,3.38,3.906,0.164,0.01248255684961798
2018-12-13T08:00:00Z,2018-12-13T08:00:00Z,1544688000,2018-12-13T14:00:00Z,3.38,3.927,0.159,0.01210869082986266
2018-12-13T09:00:00Z,2018-12-13T09:00:00Z,1544691600,2018-12-13T15:00:00Z,3.38,3.906,0.162,0.01233033054657386
2018-12-13T10:00:00Z,2018-12-13T10:00:00Z,1544695200,2018-12-13T16:00:00Z,3.38,3.948,0.164,0.01249637881171268
