lakeid,sample_date,depth,chlorophyll_ug_L
SSB,2019-01-08,0,51.4
SSB,2019-01-08,2,16.2
SSB,2019-01-08,3,14.4
SSB,2019-01-08,5,28.1
SSB,2019-01-08,7,36.9
SSB,2019-02-16,0,16
SSB,2019-02-16,2,18.3
SSB,2019-02-16,3,19.3
SSB,2019-02-16,5,5.5
SSB,2019-02-16,7,44
SSB,2019-03-09,0,23.9
SSB,2019-03-09,2,18.8
SSB,2019-03-09,3,34.6
SSB,2019-03-09,5,25.4
SSB,2019-03-09,7,39
SSB,2019-04-06,0,NA
SSB,2019-04-06,2,98.3
SSB,2019-04-06,3,109
SSB,2019-04-06,5,48.1
SSB,2019-04-06,7,123.7
SSB,2020-01-07,0,130.6
SSB,2020-01-07,2,25.3
SSB,2020-01-07,3,19.4
SSB,2020-01-07,5,25.5
SSB,2020-01-07,7,52
SSB,2020-01-31,0,13.2
SSB,2020-01-31,2,25.6
SSB,2020-01-31,3,17.9
SSB,2020-01-31,5,26
SSB,2020-01-31,7,33.4
SSB,2020-02-14,0,93.8
SSB,2020-02-14,2,33.2
SSB,2020-02-14,3,36.2
SSB,2020-02-14,5,39.7
SSB,2020-02-14,7,52.9
SSB,2020-03-06,0,168.4
SSB,2020-03-06,2,19.8
SSB,2020-03-06,3,17.9
SSB,2020-03-06,5,23.9
SSB,2020-03-06,7,59.2
SSB,2020-05-05,0,5.5
SSB,2020-05-05,2,10.2
SSB,2020-05-05,3,9.8
SSB,2020-05-05,5,12.3
SSB,2020-05-05,7,37.6
SSB,2020-10-06,0,17.4
SSB,2020-10-06,2,20.4
SSB,2020-10-06,3,27.8
SSB,2020-10-06,5,57.8
SSB,2020-10-06,7,42.3
SSB,2020-10-30,0,29.2
SSB,2020-10-30,2,35.8
SSB,2020-10-30,3,22.1
SSB,2020-10-30,5,20.1
SSB,2020-10-30,7,19.8
SSB,2021-01-13,0,45.3
SSB,2021-01-13,2,22.8
SSB,2021-01-13,3,25
SSB,2021-01-13,5,34.3
SSB,2021-01-13,7,148.9
SSB,2021-02-02,0,94.7
SSB,2021-02-02,2,47.4
SSB,2021-02-02,3,51.3
SSB,2021-02-02,5,55.4
SSB,2021-02-02,7,100.3
SSB,2021-02-17,0,259.8
SSB,2021-02-17,2,71.4
SSB,2021-02-17,3,55.9
SSB,2021-02-17,5,54.4
SSB,2021-02-17,7,78.8
SSB,2021-03-02,0,79.9
SSB,2021-03-02,2,45.2
SSB,2021-03-02,3,32.2
SSB,2021-03-02,5,37.4
SSB,2021-03-02,7,70.8
SSB,2021-03-15,0,94.9
SSB,2021-03-15,2,46.2
SSB,2021-03-15,3,41.5
SSB,2021-03-15,5,24.6
SSB,2021-03-15,7,38.5
