sampledate,lakeid,Depth_m,deck,light
2021-01-13,SSB,0,904,109.2
2021-01-13,SSB,0.5,882,47.75
2021-01-13,SSB,0.75,862,9.799
2021-01-13,SSB,1,882,4.461
2021-01-13,SSB,1.25,843.1,1.58
2021-01-13,SSB,1.5,821,0.9093
2021-01-13,SSB,1.75,820.14,0.5861
2021-01-13,SSB,2,832,0.4513
2021-01-13,SSB,2.25,784,0.2883
2021-01-13,SSB,2.5,805,0.1946
2021-01-14,TB,0,203.2,6.212
2021-01-14,TB,0.5,197.6,0.495
2021-01-14,TB,0.75,195.1,0.17
2021-01-14,TB,1,195.5,0
2021-02-02,SSB,0,367.4,58.76
2021-02-02,SSB,0.5,369.5,5.25
2021-02-02,SSB,0.75,372.3,2.713
2021-02-02,SSB,1,373.1,1.503
2021-02-02,SSB,1.25,373.7,0.8145
2021-02-02,SSB,1.5,374.2,0.5112
2021-02-02,SSB,1.75,374.6,0.3243
2021-02-02,SSB,2,375.3,0.1965
2021-02-02,SSB,2.25,375.8,0.1252
2021-02-03,TB,0,864.5,20.95
2021-02-03,TB,0.5,948.5,6.432
2021-02-03,TB,0.75,932.7,2.207
2021-02-03,TB,1,929,0.6145
2021-02-03,TB,1.25,1134,0.3256
2021-02-03,TB,1.5,1150,0.154
2021-02-03,TB,0.5,280,0.368
2021-02-03,TB,0.75,267.9,0.1355
2021-02-03,TB,1,276,0.0417
2021-02-03,TB,1.25,278,0.02119
2021-02-03,TB,1.5,272.8,0.01027
2021-02-16,TB,0.25,81.96,0.6885
2021-02-16,TB,0.5,81.66,0.3976
2021-02-16,TB,0.75,81.52,0.08091
2021-02-16,TB,1,81.07,0.004495
2021-02-17,SSB,0.25,150.7,6.445
2021-02-17,SSB,0.5,150.9,1.214
2021-02-17,SSB,0.75,151.3,0.5357
2021-02-17,SSB,1,150.9,0.0578
2021-03-02,SSB,0.5,1442,227.6
2021-03-02,SSB,0.75,1503,17.71
2021-03-02,SSB,1,1509,2.059
2021-03-02,SSB,1.25,1369,1.179
2021-03-02,SSB,1.5,1302,0.6081
2021-03-02,SSB,1.75,1323,0.4142
2021-03-02,SSB,2,1387,0.2393
2021-03-02,SSB,2.25,1514,0.0325
2021-03-15,TB,0.25,532.5,55.14
2021-03-15,TB,0.5,535.6,14.38
2021-03-15,TB,0.75,539.8,5.343
2021-03-15,TB,1,543.8,1.096
2021-03-15,TB,1.25,546.8,0.3198
2021-03-15,TB,1.5,549.8,0.1548
2021-03-15,TB,1.75,551,0.0687
2021-03-15,SSB,0.5,1136,366.5
2021-03-15,SSB,0.75,1137,45.21
2021-03-15,SSB,1,1121,8.315
2021-03-15,SSB,1.25,1065,2.778
2021-03-15,SSB,1.5,1017,2.377
2021-03-15,SSB,1.75,975.6,1.939
2021-03-15,SSB,2,986.5,1.928
2021-03-15,SSB,2.25,1003,1.915
2021-03-15,SSB,2.5,991.3,1.866
2021-03-15,SSB,2.75,992,1.777
2021-03-15,SSB,3,1007,1.664
