raw_id,tracking_id,customer_id,job_id,sample_id,system_name,site,station,sample_date,year,calculation_type,level_,replicate_,depth,fraction,report_note,taxa_id,custom_taxa_id,pollution_tolerance_class,organism,habitat,phylum,division,class_,subclass_,order_,suborder,family,subfamily,tribe,genus,subgenus,species,subspecies,variety,form_,morph,coloniality,coloniality_state,structure_,physiological_state,taxonomic_authority,assay_class,palmer_index,environmental_tolerance_class,area_per_unit_square_um,volume_per_unit_cubic_um,area_to_volume_ratio,biovolume_to_volume_ratio,biovolume_per_unit_cubic_um,biomass_per_animal_ug,average_cells_per_natural_unit,concentration_natural_unit_per_ml_,total_area_square_um_per_ml_,relative_total_area_percent,total_volume_cubic_um_per_ml_,relative_total_volume_percent,total_biovolume_cubic_um_per_ml_,relative_total_biovolume_percent,total_animal_biomass_ug_per_ml_,relative_total_animal_biomass_percent,algal_cell_concentration_cells_per_ml_,algal_biomass_concentration_mg_per_l_,relative_algal_cell_concentration_percent,relative_algal_biomass_concentration_percent,relative_concentration_percent,average_gald_um,taxa_count,uncertain,customer_requested_units,alternate_taxa_name,sample_weight,sample_weight_unit,measurement_notes,tally_notes
1,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2683,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Chlorococcales,.,Chlorococcaceae,.,.,.,.,.,.,.,.,2-9.9 um spherical,Cell-Nonmotile,Free,Vegetative,Live,N/A,1,0,"., ., ., ., ., ., ., ., ., ., ., .",64.4026,49.4801,1.302,1,49.4801,0,1,95.2789,6136.2105,0.00160558,4714.4108,0.00039379,4714.4108,0.00243188,0,0,95.2789,0.00471441,0.00085691,0.00243188,0.0011931,4.5,3,FALSE,NU/ml,,0,.,.,
2,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2080,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Volvocales,.,Chlamydomonadaceae,.,.,Chlamydomonas,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg,1,4,"., ., ., ., ., ., ., ., ., ., ., .",141.9922,169.8255,0.836,1,169.8255,0,1,254.0771,36076.9714,0.00943978,43148.7765,0.00360418,43148.7765,0.02225787,0,0,254.0771,0.04314878,0.00228509,0.02225787,0.0031816,7.4286,8,FALSE,NU/ml,,0,.,.,
3,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,1000538,.,0,Algae,Freshwater,.,Chlorophyta,Prasinophyceae,.,Prasinocladales,.,Pedinomonadaceae,.,.,Monomastix,.,minuta,.,.,.,.,Cell-Motile,Free,Vegetative,Live,.,0,0,"., ., ., ., ., ., ., ., ., ., ., .",35.7056,14.1372,2.526,1,14.1372,0,1,63.5193,2267.9941,0.00059344,897.9848,0.00007501,897.9848,0.00046322,0,0,63.5193,0.00089798,0.00057127,0.00046321,0.0007954,6,2,FALSE,NU/ml,,0,.,.,
4,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,2491,.,0,Algae,Freshwater,.,Chlorophyta,Chlorophyceae,.,Chlorococcales,.,Chlorococcaceae,.,.,Schroederia,.,judayi,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,G. M. Smith,1,0,"., ., ., ., ., ., ., ., ., ., ., .",47.1239,18.8496,2.5,1,18.8496,0,1,31.7596,1496.6382,0.00039161,598.6565,0.00005001,598.6565,0.00030881,0,0,31.7596,0.00059866,0.00028564,0.00030881,0.0003977,20,1,FALSE,NU/ml,Ankyra judayi,0,.,.,
5,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,1652,.,0,Algae,Freshwater,.,Chrysophyta,Chrysophyceae,.,.,.,.,.,.,.,.,.,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Cienkowski .,1,0,"., ., ., ., ., ., ., ., ., ., ., .",46.9645,30.2431,1.553,1,30.2431,0,1,1905.5785,89494.542,0.02341685,57630.6015,0.00481384,57630.6015,0.02972817,0,0,1905.5785,0.0576306,0.01713819,0.02972817,0.02386203,4,60,FALSE,NU/ml,,0,.,.,
6,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,3015,.,0,Algae,Freshwater,.,Cryptophyta,Cryptophyceae,.,Cryptomonadales,.,Cryptomonadaceae,.,.,Cryptomonas,.,erosa,.,.,.,.,Cell-Motile,Free,Vegetative,Live,Ehrenberg .,1,0,".,.,.,.,.,.,.,.,.,.,.,.",2767.7594,9972.6717,0.278,1,9972.6717,0,1,11.5033,31838.4962,0.00833076,114719.1008,0.0095824,114719.1008,0.0591767,0,0,11.5033,0.1147191,0.00010346,0.0591767,0.00014405,51.2,9,FALSE,NU/ml,,0,.,.,
7,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4051,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Aphanocapsa,.,elachista,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,West & West,1,0,"., ., ., ., ., ., ., ., ., ., ., .",1821.4405,8622.2058,0.211,0.00611443,52.7199,0,29.8333,1048.0682,1908993.833,0.49950109,9036659.556,0.75482536,55254.0497,0.02850225,0,0,31267.3325,0.05525405,0.28120877,0.02850225,0.01312412,28.3333,33,FALSE,NU/ml,,0,.,.,
8,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4062,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Aphanothece,.,nidulans,.,.,.,.,Colonial-Nonmotile,Attached,Vegetative,Live,P. Richter,1,0,"., ., ., ., ., ., ., ., ., ., ., .",4993.0882,33176.0562,0.151,0.0017045,56.5487,0,36,31.7596,158578.6931,0.04149318,1053659.664,0.0880114,1795.9665,0.00092643,0,0,1143.3471,0.00179597,0.01028291,0.00092643,0.0003977,40,1,FALSE,NU/ml,Aphanothece smithii,0,.,.,
9,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4321,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Synechococcus,.,elongatus,.,.,.,.,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1,0,".,.,.,.,.,.,.,.,.,.,.,.",16.9182,6.2832,2.693,1,6.2832,0,1,76223.1405,1289558.336,0.33742162,478925.2364,0.04000426,478925.2364,0.2470488,0,0,76223.1405,0.47892524,0.68552747,0.2470488,0.95448123,3,2400,FALSE,NU/ml,,0,.,.,
10,200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/2019,2019,Phytoplankton - Grab,Hypsometric Pool,.,0,.,.,4285,.,0,Algae,Freshwater,.,Cyanophyta,Cyanophyceae,.,Chroococcales,.,Chroococcaceae,.,.,Synechocystis,.,.,.,.,.,>1 um spherical,Cell-Nonmotile,Free,Vegetative,Live,N/A,1,0,".,.,.,.,.,.,.,.,.,.,.,.",7.0686,1.7671,4,1,1.7671,0,1,31.7596,224.4962,0.00005874,56.1225,0.00000469,56.1225,0.00002895,0,0,31.7596,0.00005612,0.00028564,0.00002895,0.0003977,1.5,1,FALSE,NU/ml,,0,.,.,
