raw_id,lakeid,year4,sampledate,depth_range,division,taxa_name,gald,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,taxa_id
1,SSB,2020,10/6/2020,0m,Chlorophyta,Chlorophyta,2.6286,1.784652,NA,1,1722.1369,1722.1369,11061.1133,0.01106111,1000057
2,SSB,2020,10/6/2020,0m,Chlorophyta,Chlorococcaceae,3.2,0.529698,NA,1,191.3485,191.3485,3283.0244,0.00328302,2683
3,SSB,2020,10/6/2020,0m,Chlorophyta,Chlamydomonas,3.8222,18.719365,Chlamydomonas,1,4975.0622,4975.0622,116020.939,0.11602094,2080
4,SSB,2020,10/6/2020,0m,Chlorophyta,Dictyosphaerium ehrenbergianum,16,0.414979,Dictyosphaerium,4,21.1731,84.6924,2571.9995,0.002572,2212
5,SSB,2020,10/6/2020,0m,Chlorophyta,Monomastix minuta,4,0.331062,Monomastix,1,191.3485,191.3485,2051.8879,0.00205189,1000538
6,SSB,2020,10/6/2020,0m,Chlorophyta,Oocystis parva,12.25,6.153131,Oocystis,1,84.6924,84.6924,38136.546,0.03813655,2363
7,SSB,2020,10/6/2020,0m,Chlorophyta,Schroederia judayi,23,0.159373,Schroederia,1,116.452,116.452,987.781,9.88E-04,2491
8,SSB,2020,10/6/2020,0m,Chrysophyta,Chrysophyceae,1.8,3.309272,NA,1,5357.7593,5357.7593,20510.5743,0.02051057,1652
9,SSB,2020,10/6/2020,0m,Chrysophyta,Chrysophyceae,7,1.28651,NA,1,42.3462,42.3462,7973.6689,0.00797367,1653
10,SSB,2020,10/6/2020,0m,Cryptophyta,Cryptomonas erosa,29.3333,11.285509,Cryptomonas,1,42.3462,42.3462,69946.5714,0.06994657,3015
11,SSB,2020,10/6/2020,0m,Cryptophyta,Plagioselmis minuta,8,0.057239,Plagioselmis,1,10.5865,10.5865,354.7584,3.55E-04,3043
12,SSB,2020,10/6/2020,0m,Cyanophyta,Chroococcaceae,0.8,1.61403,NA,1,37312.9668,37312.9668,10003.6064,0.01000361,4282
13,SSB,2020,10/6/2020,0m,Cyanophyta,Aphanocapsa elachista,25.6,17.039067,Aphanocapsa,34.4,1722.1369,59241.5104,105606.6029,0.1056066,4051
14,SSB,2020,10/6/2020,0m,Cyanophyta,Aphanothece nidulans,12.56,13.810306,Aphanothece,20.6,10332.8216,212856.1245,85595.0274,0.08559503,4062
15,SSB,2020,10/6/2020,0m,Cyanophyta,Synechococcus elongatus,4.8,1.319087,Synechococcus,1,3252.9253,3252.9253,8175.5772,0.00817558,4321
16,SSB,2020,10/6/2020,0m,Cyanophyta,Synechococcus sp. 1,1.2,3.662149,Synechococcus,1,56447.8216,56447.8216,22697.6691,0.02269767,4323
17,SSB,2020,10/6/2020,0m,Cyanophyta,Synechocystis,1.496,14.612536,Synechocystis,1,51664.1079,51664.1079,90567.1811,0.09056718,4285
18,SSB,2020,10/6/2020,0m,Euglenophyta,Euglena,14,1.167665,Euglena,1,21.1731,21.1731,7237.0759,0.00723708,5020
19,SSB,2020,10/6/2020,0m,Euglenophyta,Lepocinclis acus,100,0.095884,Lepocinclis,1,0.6391,0.6391,594.283,5.94E-04,5023
20,SSB,2020,10/6/2020,0m,Pyrrhophyta,Gymnodinium sp. 3,8,2.64849,Gymnodinium,1,191.3485,191.3485,16415.1031,0.0164151,6034
21,SSB,2020,10/30/2020,0m,Bacillariophyta,Cyclotella sp. 1,6.4,2.781053,Cyclotella,1,191.3485,191.3485,19698.1275,0.01969813,1071
22,SSB,2020,10/30/2020,0m,Chlorophyta,Chlorococcaceae,4.8,6.257365,NA,1,765.3942,765.3942,44320.7629,0.04432076,2683
