lakeid,treatment,year,sample_date,genus,species_name,density,individuals_measured,avg_length
SSB,reference,2019,1/18/2019,Synchaeta,Synchaeta sp.,0.036380173,8,0.13
SSB,reference,2019,1/18/2019,Keratella,Keratella tecta,0.013642565,3,0.131666667
SSB,reference,2019,1/18/2019,Asplanchna,Asplanchna sp.,0.059117781,13,0.156923077
SSB,reference,2019,1/18/2019,Unknown rotifer,Unknown rotifer,0.004547522,1,0.119
SSB,reference,2019,1/18/2019,Keratella,Keratella sp.,0.013642565,3,0.124666667
SSB,reference,2019,2/16/2019,Unknown Bdelloid,Unknown Bdelloid,0.036380173,8,0.231
SSB,reference,2019,2/16/2019,Bosmina,Bosmina longirostris,0.018190086,4,0.39425
SSB,reference,2019,2/16/2019,Asplanchna,Asplanchna sp.,0.004547522,1,0.148
SSB,reference,2019,3/9/2019,Keratella,Keratella cochlearis,0.009095043,2,0.146
SSB,reference,2019,3/9/2019,Synchaeta,Synchaeta sp.,0.018190086,4,0.173
SSB,reference,2019,3/9/2019,Unknown rotifer,Unknown rotifer,0.004547522,1,0.116
SSB,reference,2019,3/9/2019,Asplanchna,Asplanchna priodonta,0.022737608,5,0.1296
SSB,reference,2019,3/9/2019,Chaoborus,Chaoborus americanus,0.004547522,1,9.003
SSB,manipulation,2020,1/7/2020,Branchionus,Branchionus calyciflores,0.151584053,4,0.164
SSB,manipulation,2020,1/7/2020,Unknown rotifer 1,Unknown rotifer,0.037896013,1,0.149
SSB,manipulation,2020,1/7/2020,Asplanchna,Asplanchna sp.,0.075792027,2,0.15
SSB,manipulation,2020,1/7/2020,Bosmina,Bosmina longirostris,0.037896013,1,0.415
SSB,manipulation,2020,1/31/2020,Asplanchna,Asplanchna priodonta,0.009095043,2,0.106133333
SSB,manipulation,2020,1/31/2020,Polyarthra,Polyarthra sp.,0.004547522,1,0.125
SSB,manipulation,2020,1/31/2020,Unknown rotifer 2,Unknown rotifer,0.013642565,3,0.109666667
SSB,manipulation,2020,1/31/2020,Unknown rotifer 3,Unknown rotifer,0.004547522,1,0.155
SSB,manipulation,2020,3/6/2020,Keratella,Keratella sp.,0.004547522,1,0.171
SSB,manipulation,2020,3/6/2020,Asplanchna,Asplanchna sp.,0.145520691,32,0.1521
SSB,manipulation,2020,3/6/2020,Unknown rotifer 15,Unknown rotifer,0.004547522,1,0.154
SSB,manipulation,2020,3/6/2020,Trichocerca,Trichocerca sp.,0.677580719,149,0.171033333
SSB,manipulation,2020,3/6/2020,Ascomorpha,Ascomorpha ecaudis,0.013642565,3,0.136
SSB,manipulation,2020,5/5/2020,Nauplii,Nauplii,18.64483856,246,0.235233333
SSB,manipulation,2020,5/5/2020,Keratella,Keratella earlinae,0.45475216,6,0.146333333
SSB,manipulation,2020,5/5/2020,Unknown copepod,Unknown Copepod,3.562225254,47,0.5517
SSB,manipulation,2020,5/5/2020,Asplanchna,Asplanchna priodonta,2.95588904,39,0.1535
SSB,manipulation,2020,5/5/2020,Unknown rotifer 4,Unknown rotifer,0.303168107,4,0.13675
SSB,manipulation,2020,5/5/2020,Unknown Bdelloid,Unknown Bdelloid,0.68212824,9,0.109111111
SSB,manipulation,2020,5/5/2020,Chaoborus,Chaoborus americanus,0.378960133,5,8.6038
SSB,manipulation,2020,5/5/2020,Bosmina,Bosmina longirostris,0.22737608,3,0.309333333
SSB,manipulation,2020,10/30/2020,Unknown rotifer 5,Unknown rotifer,0.495679854,109,0.1831
SSB,manipulation,2020,10/30/2020,Asplanchna,Asplanchna priodonta,0.504774898,111,0.130633333
SSB,manipulation,2020,10/30/2020,Keratella,Keratella cochlearis,0.050022738,11,0.14
