division,family,genus,coloniality and motility,motility
Chlorophyta,Chlamydomonadaceae,Chlamydomonas,Cell,Motile
Chlorophyta,Chlorococcaceae,.,Cell,Nonmotile
Chlorophyta,Chlorococcaceae,Schroederia,Cell,Nonmotile
Chlorophyta,Oocystaceae,Monoraphidium,Cell,Nonmotile
Chlorophyta,Chlamydomonadaceae,Scourfieldia,Cell,Nonmotile
Chlorophyta,Chlamydomonadaceae,Chlorogonium,Cell,Nonmotile
Chlorophyta,Dictyosphaeriaceae,Mucidosphaerium,Colonial,Nonmotile
Chlorophyta,Oocystaceae,Oocystis,Colonial,Nonmotile
Chlorophyta,Pedinomonadaceae,Monomastix,Cell,Motile
Chrysophyta,.,.,Cell,Motile
Chrysophyta,Synuraceae,Mallomonas,Cell,Motile
Chrysophyta,Ochromonadaceae,Uroglena,Colonial,Motile
Cryptophyta,Cryptomonadaceae,Rhodomonas,Cell,Motile
Cryptophyta,Cryptomonadaceae,Plagioselmis,Cell,Motile
Cryptophyta,Cryptomonadaceae,Cryptomonas,Cell,Motile
Cyanophyta,Chroococcaceae,.,Cell,Nonmotile
Cyanophyta,Chroococcaceae,Synechococcus,Cell,Nonmotile
Cyanophyta,Chroococcaceae,Synechocystis,Cell,Nonmotile
Cyanophyta,Chroococcaceae,Aphanothece,Colonial,Nonmotile
Cyanophyta,Synechococcaceae,Cyanodictyon,Colonial,Nonmotile
Cyanophyta,Chroococcaceae,Chroococcus,Colonial,Nonmotile
Cyanophyta,Chroococcaceae,Aphanocapsa,Colonial,Nonmotile
Cyanophyta,Nostocaceae,Pseudanabaena,Filament,Filament
Euglenophyta,Euglenaceae,Euglena,Cell,Motile
Euglenophyta,Euglenaceae,Lepocinclis,Cell,Motile
Haptophyta,Chromulinaceae,Chrysochromulina,Cell,Motile
Miscellaneous,.,.,Cell,Motile
Miscellaneous,.,.,Cell,Nonmotile
Pyrrhophyta,Gymnodiniaceae,Gymnodinium,Cell,Motile
Pyrrhophyta,Peridinaceae,Peridinium,Cell,Motile
